laneID,tLinkID,time,speed,dis
34713,162,4607.6,12.5,-1
34711,162,4609.04,13.636,-1
34713,162,4609.72,16.667,-1
34713,162,4611.92,16.667,-1
34713,162,4619.12,15,-1
34713,162,4620.8,18.75,-1
34712,162,4621.24,10.714,-1
34713,162,4622,15,-1
34711,162,4622.4,13.636,-1
34711,162,4623.8,10,-1
34712,162,4624.08,25,-1
34713,162,4624.28,21.429,-1
34713,162,4625.28,11.538,-1
34711,162,4628.64,12.5,-1
34713,162,4628.88,13.636,-1
34713,162,4629.04,21.429,-1
34712,162,4630.44,12.5,-1
34713,162,4632.72,15,-1
34711,162,4633,18.75,-1
34712,162,4633.88,16.667,-1
34713,162,4637.28,10.714,-1
34711,162,4640.12,10.714,-1
34712,162,4640.96,12.5,-1
34713,162,4641.88,16.667,-1
34712,162,4643.08,12.5,-1
34713,162,4643.28,11.538,-1
34712,162,4645.76,13.636,-1
34713,162,4646.64,11.538,-1
34713,162,4647.24,8.8235,-1
34711,162,4647.52,30,-1
34711,162,4649.16,11.538,-1
34713,162,4649.36,12.5,-1
34712,162,4649.52,13.636,-1
34712,162,4650.16,10.714,-1
34712,162,4651.76,15,-1
34713,162,4652.24,15,-1
34712,162,4652.68,16.667,-1
34713,162,4653.56,12.5,-1
34712,162,4655.28,11.538,-1
34713,162,4655.96,12.5,-1
34712,162,4658.88,15,-1
34713,162,4659.24,13.636,-1
34712,162,4660.92,15,-1
34713,162,4661.12,15,-1
34711,162,4661.32,11.538,-1
34712,162,4663.52,13.636,-1
34713,162,4664.48,13.636,-1
34713,162,4666,13.636,-1
34712,162,4666.24,15,-1
34712,162,4669.04,12.5,-1
34713,162,4669.44,10.714,-1
34712,162,4671.12,11.538,-1
34713,162,4671.36,12.5,-1
34712,162,4672.92,12.5,-1
34711,162,4673.28,11.538,-1
34712,162,4674.36,11.538,-1
34713,162,4674.64,10.714,-1
34711,162,4675.72,12.5,-1
34712,162,4676.92,11.538,-1
34713,162,4677.12,12.5,-1
34713,162,4678.32,11.538,-1
34713,162,4679.52,11.538,-1
34712,162,4684.36,13.636,-1
34711,162,4684.72,15,-1
34713,162,4685.92,10.714,-1
34712,162,4687.72,12.5,-1
34712,162,4688.48,10.714,-1
34713,162,4689.68,11.538,-1
34712,162,4689.96,11.538,-1
34712,162,4691.28,12.5,-1
34712,162,4692.36,18.75,-1
34711,162,4696.64,12.5,-1
34713,162,4697.36,15,-1
34711,162,4699.44,16.667,-1
34712,162,4699.72,12.5,-1
34713,162,4700,11.538,-1
34712,162,4703.44,12.5,-1
34711,162,4703.84,16.667,-1
34713,162,4704.44,6.5217,-1
34712,162,4704.8,11.538,-1
34711,162,4705.12,8.8235,-1
34713,162,4706.12,8.3333,-1
34712,162,4706.56,10.714,-1
34713,162,4710.88,16.667,-1
34712,162,4714.32,10,-1
34713,162,4715.36,10.714,-1
34711,162,4715.4,16.667,-1
34711,162,4717.36,10,-1
34712,162,4717.56,16.667,-1
34713,162,4718.2,13.636,-1
34711,162,4718.88,10,-1
34713,162,4720.12,12.5,-1
34711,162,4721.28,9.375,-1
34712,162,4721.48,15,-1
34711,162,4722.72,12.5,-1
34713,162,4722.88,50,-1
34712,162,4723.92,12.5,-1
34713,162,4725.84,12.5,-1
34712,162,4727.08,15,-1
34711,162,4727.6,11.538,-1
34712,162,4729.72,16.667,-1
34713,162,4729.96,16.667,-1
34712,162,4732.04,12.5,-1
34712,162,4733.44,10,-1
34713,162,4734.16,18.75,-1
34712,162,4735.76,13.636,-1
34711,162,4736.12,18.75,-1
34713,162,4738.72,13.636,-1
34712,162,4740.64,18.75,-1
34713,162,4741.84,13.636,-1
34712,162,4743,15,-1
34712,162,4743.92,13.636,-1
34711,162,4744.24,15,-1
34713,162,4744.44,12.5,-1
34712,162,4746.24,15,-1
34713,162,4746.44,18.75,-1
34712,162,4748.72,16.667,-1
34712,162,4750.24,13.636,-1
34712,162,4756.88,13.636,-1
34712,162,4761.56,16.667,-1
34713,162,4762.36,15,-1
34712,162,4763.72,15,-1
34713,162,4766.28,15,-1
34712,162,4766.64,9.375,-1
34711,162,4767.08,15,-1
34713,162,4767.84,12.5,-1
34712,162,4768.76,12.5,-1
34713,162,4770.36,12.5,-1
34712,162,4770.64,13.636,-1
34712,162,4773.04,11.538,-1
34713,162,4773.96,10.714,-1
34712,162,4774.28,11.538,-1
34711,162,4775,13.636,-1
34713,162,4775.24,15,-1
34711,162,4776.56,10,-1
34713,162,4776.76,10.714,-1
34712,162,4778,11.538,-1
34711,162,4778.04,11.538,-1
34712,162,4778.88,12.5,-1
34713,162,4779.6,10,-1
34712,162,4780.12,11.538,-1
34712,162,4781.16,11.538,-1
34712,162,4783.12,10,-1
34713,162,4783.68,11.538,-1
34712,162,4784.96,16.667,-1
34712,162,4786.32,16.667,-1
34711,162,4788.24,11.538,-1
34712,162,4789.6,18.75,-1
34713,162,4793.08,15,-1
34713,162,4795.84,13.636,-1
34713,162,4797.16,16.667,-1
34711,162,4797.2,10.714,-1
34712,162,4798.76,13.636,-1
34711,162,4800.2,15,-1
34712,162,4801.48,8.3333,-1
34711,162,4801.72,25,-1
34713,162,4801.96,11.538,-1
34711,162,4803.72,12.5,-1
34713,162,4804.08,15,-1
34712,162,4805.48,15,-1
34712,162,4806.56,15,-1
34712,162,4812.16,12.5,-1
34711,162,4812.92,18.75,-1
34713,162,4813.6,11.538,-1
34712,162,4817.04,18.75,-1
34712,162,4820.16,15,-1
34712,162,4825.16,15,-1
